Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Calakmul (cmul), Campeche
Lat 18.5956 N, Lon 89.4137 W, Alt 275 masl
Time UTC-6h
FlAGS describe the method used to calculte null values from metdata: IP = interpolation  LR= linear regresion for Temp_avg using PMT640 mass monitor
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s.1,deg,deg.1,mm,hPa,W/m^2,Temp_flag,WDIR_flag,WDIR_avg_flag
2023-12-01 00:00:00,22.95,99.9,2.123,3.266,114.8,6.9,0.0,981.026,-0.001,,,
2023-12-01 00:01:00,22.95,99.9,2.351,3.283,107.3,6.967,0.0,981.036,-0.001,,,
2023-12-01 00:02:00,22.96,99.9,2.438,3.215,106.0,17.45,0.0,981.039,-0.001,,,
2023-12-01 00:03:00,22.95,99.9,2.691,3.199,119.6,11.58,0.0,981.054,-0.001,,,
2023-12-01 00:04:00,22.95,99.9,2.518,3.165,118.7,17.36,0.0,981.074,-0.001,,,
2023-12-01 00:05:00,22.95,99.9,2.798,3.465,126.4,12.57,0.0,981.085,-0.001,,,
2023-12-01 00:06:00,22.96,100.0,1.591,2.315,116.7,11.32,0.0,981.074,-0.001,,,
2023-12-01 00:07:00,22.95,99.9,1.894,2.749,139.2,16.79,0.0,981.079,-0.001,,,
2023-12-01 00:08:00,22.95,99.9,1.185,1.333,125.2,12.64,0.0,981.095,-0.001,,,
2023-12-01 00:09:00,22.95,99.9,2.043,2.482,124.3,15.52,0.0,981.089,-0.001,,,
2023-12-01 00:10:00,22.96,100.0,1.54,2.266,119.2,14.29,0.0,981.077,0.0,,,
2023-12-01 00:11:00,22.95,100.0,1.122,1.6,107.4,27.97,0.0,981.068,-0.001,,,
2023-12-01 00:12:00,22.95,100.0,1.877,3.315,126.0,15.55,0.0,981.051,-0.001,,,
2023-12-01 00:13:00,22.96,100.0,1.855,2.649,107.8,10.0,0.0,981.034,-0.001,,,
2023-12-01 00:14:00,22.95,100.0,1.518,1.732,116.7,13.07,0.0,981.027,-0.001,,,
2023-12-01 00:15:00,22.95,100.0,1.855,2.715,107.7,17.95,0.0,981.024,-0.002,,,
2023-12-01 00:16:00,22.95,100.0,1.533,1.982,110.3,15.87,0.0,981.025,-0.001,,,
2023-12-01 00:17:00,22.96,100.0,1.836,2.866,125.5,25.08,0.0,981.016,-0.001,,,
2023-12-01 00:18:00,22.95,100.0,2.298,3.749,119.9,8.71,0.0,981.014,-0.001,,,
