Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Calakmul (cmul), Campeche
Lat 18.5956 N, Lon 89.4137 W, Alt 275 masl
Time UTC-6h
FlAGS describe the method used to calculte null values from metdata: IP = interpolation  LR= linear regresion for Temp_avg using PMT640 mass monitor
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s.1,deg,deg.1,mm,hPa,W/m^2,Temp_flag,RH_flag,WSpeed_flag,WSpeed_max_flag,WDIR_flag,WDIR_avg_flag,Rain_Tot_flag,Rad_flag
2024-05-01 00:00:00,25.42,90.9,2.516,2.916,119.6,10.46,0.0,978.904,-0.001,,,,,,,,
2024-05-01 00:01:00,25.42,90.9,2.776,3.548,132.6,13.42,0.0,978.895,-0.002,,,,,,,,
2024-05-01 00:02:00,25.42,90.9,3.691,3.964,113.1,7.334,0.0,978.848,-0.001,,,,,,,,
2024-05-01 00:03:00,25.42,91.0,2.854,3.332,128.2,14.74,0.0,978.823,-0.001,,,,,,,,
2024-05-01 00:04:00,25.42,91.0,2.849,4.032,119.3,12.83,0.0,978.801,-0.002,,,,,,,,
2024-05-01 00:05:00,25.39,91.1,2.924,3.798,123.2,1.042,0.0,978.804,-0.001,,,,,,,,
2024-05-01 00:06:00,25.37,91.2,2.508,3.898,118.5,10.39,0.0,978.774,-0.001,,,,,,,,
2024-05-01 00:07:00,25.37,91.2,2.185,2.95,125.4,14.67,0.0,978.757,-0.001,,,,,,,,
2024-05-01 00:08:00,25.37,91.2,2.237,2.815,121.8,3.99,0.0,978.741,-0.001,,,,,,,,
2024-05-01 00:09:00,25.37,91.2,3.526,4.032,118.6,15.55,0.0,978.726,-0.001,,,,,,,,
2024-05-01 00:10:00,25.34,91.3,2.543,2.982,117.4,9.31,0.0,978.707,-0.001,,,,,,,,
2024-05-01 00:11:00,25.33,91.3,3.638,4.449,119.4,11.62,0.0,978.71,-0.002,,,,,,,,
2024-05-01 00:12:00,25.32,91.4,2.627,3.533,120.3,19.58,0.0,978.702,-0.001,,,,,,,,
2024-05-01 00:13:00,25.32,91.5,3.174,3.866,108.2,13.43,0.0,978.704,-0.001,,,,,,,,
2024-05-01 00:14:00,25.28,91.5,3.546,4.148,116.5,4.374,0.0,978.684,-0.001,,,,,,,,
2024-05-01 00:15:00,25.28,91.6,3.033,4.065,115.5,9.49,0.0,978.656,-0.001,,,,,,,,
2024-05-01 00:16:00,25.28,91.6,1.982,2.749,110.7,10.94,0.0,978.636,-0.001,,,,,,,,
2024-05-01 00:17:00,25.25,91.6,1.802,2.249,106.9,15.89,0.0,978.611,-0.001,,,,,,,,
2024-05-01 00:18:00,25.23,91.6,1.877,2.565,122.2,18.68,0.0,978.588,-0.002,,,,,,,,
2024-05-01 00:19:00,25.23,91.7,1.369,1.749,128.7,20.4,0.0,978.56,-0.001,,,,,,,,
2024-05-01 00:20:00,25.22,91.7,1.902,2.899,124.2,14.48,0.0,978.548,-0.001,,,,,,,,
2024-05-01 00:21:00,25.19,91.9,2.253,3.298,120.8,11.21,0.0,978.537,-0.002,,,,,,,,
2024-05-01 00:22:00,25.19,92.0,2.45,2.849,119.6,12.11,0.0,978.542,-0.002,,,,,,,,
2024-05-01 00:23:00,25.18,92.0,1.707,2.632,125.6,17.69,0.0,978.551,-0.001,,,,,,,,
2024-05-01 00:24:00,25.14,92.1,3.64,4.532,112.3,6.091,0.0,978.562,-0.002,,,,,,,,
2024-05-01 00:25:00,25.14,92.3,2.222,2.95,128.8,13.02,0.0,978.568,-0.001,,,,,,,,
