Date & Time (Local), Date & Time (UTC),  Foto de Prensa,  Temp. exterior,  Conteo de amplitud,  Temp. cuadro,  Flujo en desviación T640x,  LED de Temp.,  Conjunto P3 Valor,  PM10 Conc,  PM10-2.5 Conc,  PM10STP Conc,  PM2.5 Conc,  Bomba PWM,  Flujo de fotos,  Muestra de RH,  Temp. foto en Muestra,  SL Valor,  Span Deviation,  Flujo Total,  PWM válvula,  Free RAM
2024-10-17 21:00:00,2024-10-18 03:00:00,98.2314874013265,22.703171030680345,18531.716666666667,31.252308654785164,,41.41939862569173,41.25,11.870333133333332,6.687791066666667,12.149849824412126,5.182542066666667,36.51193682352701,4.999652783075969,35.26430123647054,40.196303049723305,50.122565,0.0,4.999652783075969,,144878.46666666667
2024-10-17 22:00:00,2024-10-18 04:00:00,98.23313522338867,22.708713912963866,19565.333333333332,31.301513671875004,,41.45722618103028,41.0,12.1156482,6.5935406,12.400947583231254,5.5221076,36.48965619405109,5.00099790096283,35.26765651702881,40.235408210754386,49.849465,0.0,5.000816702842713,,144817.2
2024-10-17 23:00:00,2024-10-18 05:00:00,98.1968147277832,22.80008033116659,17540.316666666666,31.29999237060547,,41.52441393534343,41.05,15.238814999999999,9.058736000000001,15.6083779258861,6.180079,36.491589419047024,4.996357178688049,35.282296371459964,40.305562782287595,49.98276,0.0,4.996357178688049,,144491.4
2024-10-18 00:00:00,2024-10-18 06:00:00,98.13839098612468,22.762625853220623,20527.6,31.225369262695317,,41.436684672037764,41.0,18.3004046,11.2342924,18.753437164973057,7.0661122,36.49311389923094,4.999604948361715,35.316659673055014,40.21828931172688,49.63561333333334,0.0,4.999604948361715,,144045.46666666667
2024-10-18 01:00:00,2024-10-18 07:00:00,98.10684521993001,22.86283054351807,23477.866666666665,31.327627563476565,,41.533695983886716,41.03333333333333,17.655026200000002,9.9264708,18.10339432556396,7.7285554,36.484466552734354,4.999849565823873,35.218348121643075,40.37672405242919,49.960985,0.0,4.999849565823873,,143685.13333333333
2024-10-18 02:00:00,2024-10-18 08:00:00,98.1048417409261,22.86552244822184,24554.216666666667,31.336665852864595,,41.545538584391274,41.0,17.892545600000002,10.091499066666668,18.35296235416551,7.804764466666667,36.4953513463338,4.997201697031658,35.225261433919265,40.322345924377444,49.517665,0.0,4.997201697031658,,143152.13333333333
2024-10-18 03:00:00,2024-10-18 09:00:00,98.09659309387207,22.855093447367345,26346.75,31.375850423177084,,41.56554412841796,41.3,19.059308466666668,10.974962266666667,19.55242548495045,8.0891778,36.48436368306476,5.00109163125356,35.23522459665934,40.34601039886474,50.13973333333333,0.0,5.00109163125356,,143153.73333333334
2024-10-18 04:00:00,2024-10-18 10:00:00,98.09168841044108,22.76160418192545,24203.733333333334,31.31133677164714,,41.47959696451823,41.083333333333336,18.127751999999997,10.499135333333333,18.58461859311435,7.628616666666667,36.4834503173828,4.99875439008077,35.225261497497556,40.192442957560225,49.980311666666665,0.0,4.99875439008077,,143177.73333333334
2024-10-18 05:00:00,2024-10-18 11:00:00,98.12009468078614,22.715767606099448,24865.483333333334,31.249914550781266,,41.39466959635417,41.21666666666667,17.675363466666667,9.976003266666668,18.1124973633554,7.6993602,36.52912667592365,5.002358857790629,35.23888479868572,40.07311363220215,50.102005,0.0,5.002358857790629,,143137.8
2024-10-18 06:00:00,2024-10-18 12:00:00,98.18986930847169,22.73323446909587,20899.833333333332,31.17409362792969,,41.32785517374675,41.0,15.410628066666668,8.5788142,15.782066551132825,6.831813866666667,36.47846590677896,5.001158301035563,35.248848088582356,39.98667939503988,49.751864999999995,0.0,5.001158301035563,,143163.33333333334
2024-10-18 07:00:00,2024-10-18 13:00:00,98.2380532582601,23.35284029642741,20138.883333333335,31.28924102783204,,41.46331532796224,41.333333333333336,16.487595133333333,9.350208266666666,16.913500389860566,7.139648466666667,36.463916842142716,4.998858873049418,35.39473978678385,40.26242955525717,50.05191666666666,0.0,4.998858873049418,,143223.4
2024-10-18 08:00:00,2024-10-18 14:00:00,98.28834139506021,24.274882221221933,18298.533333333333,31.440920003255215,,41.67126070658366,41.2,17.2662366,10.054730933333333,17.755799834670032,7.211454266666666,36.430141894022604,5.001111618677775,35.25199972788493,40.62343908945719,49.992675,0.0,5.001111618677775,,143174.93333333332
2024-10-18 09:00:00,2024-10-18 15:00:00,98.29338099161784,25.140858173370358,18772.6,31.476570129394535,,41.83270403544108,41.0,15.790594,8.732585866666666,16.28522601702023,7.058762,36.383855946858695,4.999454220136006,35.296529579162595,40.798824882507326,49.53437333333333,0.0,4.999454220136006,,143123.8
2024-10-18 10:00:00,2024-10-18 16:00:00,98.27256355285644,26.656169382731125,19639.15,31.371450805664075,,41.86367340087891,41.3,14.709497800000001,8.174913,15.247986937818458,6.534739,36.2884301503499,5.0008385181427,35.54937451680501,40.89583263397218,50.087509999999995,0.0,5.0008385181427,,143092.46666666667
2024-10-18 11:00:00,2024-10-18 17:00:00,98.21772232055665,27.628863588968915,17125.466666666667,31.33359476725262,,41.88175748189291,41.03333333333333,15.124467133333333,9.168577800000001,15.738254497744132,5.955889333333333,36.20958925882972,5.000224582354226,35.71783618927002,41.00307826995849,49.839306666666666,0.0,5.000224582354226,,143158.93333333332
