Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Calakmul (cmul), Campeche
Lat 18.5956 N, Lon 89.4137 W, Alt 275 masl
Time UTC-6h + 170 S correction for height position 
Greenhouse Gas data
Concentrations correspond to dry molar fractions

Time,MPVPosition,Height,CO2_Avg,CO2_SD,CH4_Avg,CH4_SD,CO_Avg,CO_SD,CO2_MPVPosition,CH4_MPVPosition,CO_MPVPosition
yyyy-mm-dd HH:MM:SS,1-5,m agl,ppm,ppm,ppb,ppb,ppb,ppm,1-5,1-5,1-5
2024-09-01 00:00:00,0.0,16.0,478.6387211122294,1.0076892702082012,1.9679768848434174,0.0016070846434988518,,,,,
2024-09-01 01:00:00,0.0,16.0,476.1528682013253,1.0074521247249508,1.9670139520548737,0.0015218249824360717,,,,,
2024-09-01 02:00:00,0.0,16.0,470.53774655571067,0.7950945975183362,1.9693153133822698,0.0018659423323475132,,,,,
2024-09-01 03:00:00,0.0,16.0,469.5544098940331,0.8293847402359532,1.9733863875713658,0.0018380326466262901,,,,,
2024-09-01 04:00:00,0.0,16.0,470.69949019133514,0.6449335271811776,1.9691779075622444,0.0013900978417152666,,,,,
2024-09-01 05:00:00,0.0,16.0,471.06416459558346,0.8333119267000088,1.9668169241483155,0.001588449331665305,,,,,
2024-09-01 06:00:00,0.0,16.0,456.45037092315954,0.4966941039060321,1.961466977602108,0.0020122701025589882,,,,,
2024-09-01 07:00:00,0.0,16.0,432.79655694381745,0.1946808136461956,1.953539658463517,0.0022077080182220047,,,,,
2024-09-01 08:00:00,0.0,16.0,419.2645757722482,0.2958992229908005,1.9357106711513123,0.0016958271104503251,,,,,
2024-09-01 09:00:00,0.0,16.0,416.9712735319057,0.3903124770561416,1.9306490026977852,0.0017038893384699384,,,,,
2024-09-01 10:00:00,0.0,16.0,415.9573901052516,0.30727436838302435,1.9324402344877345,0.0018272943173908067,,,,,
2024-09-01 11:00:00,0.0,16.0,415.3372862935477,0.31916754946813397,1.938307230566535,0.0016931404716881465,,,,,
2024-09-01 12:00:00,0.0,16.0,414.85122585047856,0.30743002343112324,1.938763456893348,0.0016550165364759533,,,,,
2024-09-01 13:00:00,0.0,16.0,415.20859382937203,0.27284291271142636,1.9366602719744024,0.0017625115840734016,,,,,
2024-09-01 14:00:00,0.0,16.0,415.9959465653595,0.26768874724315245,1.9349316014179057,0.0020939053222825115,,,,,
2024-09-01 15:00:00,0.0,16.0,417.13839276794107,0.1870826968406038,1.9357182897139091,0.0014253684257757335,,,,,
2024-09-01 16:00:00,0.0,16.0,416.6752878822096,0.1880119516793038,1.937532325177238,0.0015170969225048916,,,,,
2024-09-01 17:00:00,0.0,16.0,417.3596416434856,0.1717403040972193,1.94232001088525,0.0018895950614202567,,,,,
2024-09-01 18:00:00,0.0,16.0,426.89288107471606,0.40740784138645475,1.9409653833364702,0.002065731145152785,,,,,
2024-09-01 19:00:00,0.0,16.0,431.62082058760893,0.4712810597013055,1.9401232884277557,0.0019337589592595785,,,,,
2024-09-01 20:00:00,0.0,16.0,434.8653941108467,0.37519763478412,1.9482781885312754,0.001912329684657665,,,,,
2024-09-01 21:00:00,0.0,16.0,439.2520064273592,0.374530390496081,1.9582428965515162,0.00190832819090683,,,,,
2024-09-01 22:00:00,0.0,16.0,443.4395232780409,0.4599049830336709,1.9677996162376272,0.0017948442096678333,,,,,
2024-09-01 23:00:00,0.0,16.0,446.39879119302935,0.6619546166792475,1.9706682811970637,0.0020939799616060913,,,,,
2024-09-02 00:00:00,0.0,16.0,452.4997296954806,0.6243340106720875,1.97707346832401,0.0016472497584889432,,,,,
2024-09-02 01:00:00,0.0,16.0,458.06639696468545,0.8662230024855214,1.974924357017379,0.0019462497388872534,,,,,
2024-09-02 02:00:00,0.0,16.0,474.57724391967173,0.6914108941637048,1.9711875838038775,0.0019657616780897934,,,,,
2024-09-02 03:00:00,0.0,16.0,475.89518881924124,0.6490918305700661,1.971859074502792,0.0019310649334259166,,,,,
2024-09-02 04:00:00,0.0,16.0,516.8692812243985,1.8076192482319198,1.9731745401060292,0.001815177794963345,,,,,
2024-09-02 05:00:00,0.0,16.0,514.5574932218167,2.155182849247247,1.971565830713972,0.00218245041635606,,,,,
2024-09-02 06:00:00,0.0,16.0,499.82345771279716,1.4397236763917578,1.9731987010634293,0.0017180560503002016,,,,,
2024-09-02 07:00:00,0.0,16.0,456.49774745080776,0.5987342343841896,1.9543693613620678,0.0018805040104617132,,,,,
2024-09-02 08:00:00,0.0,16.0,428.17467619904187,0.3956042015976232,1.9503145190256603,0.001723183385641855,,,,,
2024-09-02 09:00:00,0.0,16.0,419.2961844067109,0.31627546276605106,1.943442797126786,0.0020383385783016,,,,,
2024-09-02 10:00:00,0.0,16.0,417.1619981048808,0.3499053285970531,1.9449839190193863,0.00182813382557652,,,,,
2024-09-02 11:00:00,0.0,16.0,416.9245120960848,0.3035264419233302,1.9451985893719805,0.001669875129380195,,,,,
2024-09-02 12:00:00,0.0,16.0,416.57688890239564,0.27714755748609277,1.9451921302308801,0.0019742489953686634,,,,,
2024-09-02 13:00:00,0.0,16.0,416.6747980483373,0.20066422024796082,1.943744778060104,0.0018912965874108767,,,,,
2024-09-02 14:00:00,0.0,16.0,416.1244759197265,0.22850482683636864,1.9413283752069186,0.0018703368197453382,,,,,
2024-09-02 15:00:00,0.0,16.0,412.6409714141092,0.3186211827539726,1.9434477330942004,0.001587587273764435,,,,,
2024-09-02 16:00:00,0.0,16.0,411.5224929044435,0.22041192632003054,1.9476056758893279,0.0018485218848003184,,,,,
